,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
264,ALV,118.15,116.78,105.72,103.0,99.78,True,79.47,123.51,104.76,True,True,True,True,True,True,True,True,True
268,ALXO,15.28,13.64,11.48,9.96,9.48,True,4.19,16.79,85.71,True,True,True,True,True,True,True,True,True
270,AM,13.94,13.52,12.63,12.32,11.99,True,9.27,14.34,88.89,True,True,True,True,True,True,True,True,True
271,AMAL,23.25,23.21,22.14,21.15,20.53,True,13.88,27.48,82.54,True,True,True,True,True,True,True,True,True
277,AMBP,3.66,3.44,3.39,3.36,3.35,True,2.44,3.89,83.33,True,True,True,True,True,True,True,True,True
282,AME,180.18,179.37,163.18,161.47,159.17,True,132.88,184.91,97.62,True,True,True,True,True,True,True,True,True
284,AMG,163.21,160.83,146.15,144.71,143.15,True,121.52,169.52,94.44,True,True,True,True,True,True,True,True,True
287,AMK,34.94,34.86,29.61,29.43,28.81,True,23.18,37.06,86.51,True,True,True,True,True,True,True,True,True
310,AMTB,22.72,21.92,21.34,20.78,20.43,True,15.9,25.46,72.22,True,True,True,True,True,True,True,True,True
316,AMZN,179.21,177.42,155.21,150.18,145.02,True,102.05,189.05,97.62,True,True,True,True,True,True,True,True,True
319,ANDE,60.88,55.39,53.04,52.18,50.98,True,35.71,60.88,105.56,True,True,True,True,True,True,True,True,True
327,ANIP,66.68,65.02,58.79,58.54,57.12,True,37.29,69.69,92.86,True,True,True,True,True,True,True,True,True
337,AOMR,11.8,10.68,9.79,9.47,9.1,True,6.33,11.8,112.7,True,True,True,True,True,True,True,True,True
340,AORT,20.82,20.02,17.38,17.13,16.68,True,12.33,21.64,82.54,True,True,True,True,True,True,True,True,True
341,AOS,88.14,85.32,78.06,76.35,74.7,True,63.13,89.88,94.44,True,True,True,True,True,True,True,True,True
351,APEI,13.34,12.59,9.24,8.22,7.39,True,3.89,15.57,79.37,True,True,True,True,True,True,True,True,True
352,APG,38.24,37.64,32.27,31.17,29.97,True,21.65,39.57,107.14,True,True,True,True,True,True,True,True,True
353,APH,114.01,110.87,97.4,94.56,91.46,True,72.3,117.38,94.44,True,True,True,True,True,True,True,True,True
362,APO,113.58,111.12,97.68,93.89,90.38,True,56.84,116.06,124.6,True,True,True,True,True,True,True,True,True
363,APOG,61.15,57.28,51.31,50.57,49.27,True,36.35,61.15,91.27,True,True,True,True,True,True,True,True,True
364,APP,70.97,65.45,48.56,45.32,40.77,True,15.44,78.24,99.21,True,True,True,True,True,True,True,True,True
369,APT,6.02,5.94,5.12,4.88,4.65,True,3.69,6.82,78.57,True,True,True,True,True,True,True,True,True
